,,,,,,,,,,,,,,,,,,,,,,,,"Dog Parks per 100,000 Residents",,,"Playgrounds per 10,000 Residents",,,"Amenities
Recreation & Senior Centers per 20,000 Residents",,,,"Restrooms per 10,000 Residents",,,,"Splashpads & Spraygrounds per 100,000 Residents",,,,,,,,,
ParkScore® Index 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Acreage,,,,,,Access,,Equity,,,,,,,,,Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median Park Size,,,Parkland as Percent of City Area,,,Percent of Residents within a 10-Minute Walk to Park,,% of       within 10-Min Walk to Park,,,,Distribution of park space,,,,,Spending per Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,People of Color,,Low-Income Households,,"Neighborhoods of color have             park space than white
neighborhoods",,Low-income neighborhoods have             park space than high-income neighborhoods,,,,,,"Basketball Hoops per 10,000
Residents",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Data
6.9
7.9
16.4
8.6
3.4
4.8
4.4
17.1
3.0
4.8
3.4
4.1
10.1
4.2
5.2
8.8
2.8
4.7
0.9
8.0
2.7
2.2
6.2
8.9
3.3
1.8
3.9
5.5
2.9
3.8
1.7
4.8
1.7
2.5
6.3
2.7
2.5
3.2
2.2
2.6
6.0
3.4
3.8
15.6
7.4
5.3
2.8
3.1
3.0
5.2
17.0
1.9
2.8
2.8
6.8
3.0
5.6
2.7
4.4
4.1
5.8
12.0
3.2
1.4
1.7
5.2
9.3
2.6
3.5
3.1
3.2
4.3
9.5
2.7
3.0
1.5
5.3
2.8
2.1
3.3
8.0
4.1
4.6
2.8
2.2
2.3
3.9
2.8
0.8
2.8
4.7
2.1
2.6
5.1
1.7
1.9
4.6
2.7","Points
/100
99
100
100
100
44
65
60
100
37
65
43
54
100
57
73
100
34
63
3
100
32
24
89
100
42
17
50
78
34
49
16
66
16
28
91
32
28
41
24
30
85
44
50
100
100
74
34
38
36
72
100
19
34
33
98
36
79
32
59
55
82
100
40
11
16
72
100
30
45
38
39
58
100
32
37
13
75
34
22
42
100
54
62
33
23
25
51
34
1
33
65
22
30
70
15
19
63
31","Data
2.7
1.3
3.9
1.6
1.6
1.1
4.5
0.7
1.9
1.8
5.8
1.4
4.1
2.3
1.0
2.3
0.9
1.8
2.3
5.0
0.8
2.1
0.3
1.4
1.8
1.4
2.0
0.5
1.2
0.7
3.1
0.6
1.1
2.5
1.2
2.1
6.7
0.8
1.5
4.3
1.1
2.3
0.8
3.8
1.3
0.8
0.4
1.9
0.7
1.7
2.8
3.0
0.5
1.6
0.7
0.7
1.1
1.6
1.2
1.9
4.1
2.0
1.2
1.1
1.2
1.0
1.3
0.5
1.9
1.2
1.4
1.8
2.2
0.6
0.6
1.0
1.0
0.4
2.5
1.2
0.6
1.4
1.0
0.7
2.3
0.4
1.4
1.2
0.0
1.3
1.1
0.4
0.9
0.0
0.0
0.4
1.1
0.6",,"Points
/100
100
47
100
60
61
38
100
20
72
69
100
53
100
89
33
90
27
71
89
100
24
84
1
49
67
50
75
11
43
18
100
14
35
98
40
84
100
22
56
100
38
92
25
100
46
25
4
75
21
63
100
100
11
58
19
22
36
61
40
72
100
77
41
39
44
33
46
11
71
40
51
68
88
16
16
34
31
4
100
41
17
52
32
21
91
8
53
42
1
45
39
7
29
1
1
8
38
14","Data
2.0
4.1
5.4
8.1
4.0
3.6
3.1
4.2
2.0
2.3
2.1
3.9
7.1
3.5
4.7
4.4
3.6
3.6
2.9
2.9
4.7
2.0
2.9
4.5
3.3
3.1
3.1
4.7
2.1
3.3
4.3
1.6
2.2
3.2
2.4
1.3
2.4
4.8
1.9
3.0
5.4
1.5
1.6
13.7
2.5
4.0
1.1
1.3
4.7
2.5
6.6
3.1
1.9
2.0
2.8
3.8
4.6
2.9
2.9
3.3
2.3
3.7
1.5
1.7
2.2
2.0
3.0
1.6
2.9
2.5
3.4
2.6
3.0
4.4
1.5
3.6
2.4
1.1
3.6
1.9
2.5
2.0
3.7
1.0
3.0
2.3
2.4
2.8
1.0
3.4
2.1
1.4
1.7
1.0
1.0
2.0
1.6
1.4",,"Points
/100
22
66
93
100
65
56
45
68
23
29
24
62
100
53
78
72
56
55
42
40
79
23
40
74
50
46
45
79
24
49
69
15
26
47
31
7
31
81
20
42
93
12
14
100
33
63
3
7
77
32
100
44
20
23
39
60
77
41
41
48
28
57
11
15
26
22
42
15
40
32
52
34
43
72
11
55
30
4
56
20
33
23
58
1
44
28
30
38
1
51
25
10
16
2
2
22
14
9","Data
2.0
1.7
1.3
1.5
2.3
1.8
0.9
1.7
0.7
0.4
0.5
1.1
0.1
1.2
0.3
1.8
0.9
0.8
0.6
0.5
0.4
0.6
1.2
0.8
1.3
0.9
1.4
0.9
1.0
1.6
0.7
2.4
0.3
1.1
2.2
0.9
1.0
0.7
0.5
1.1
0.3
1.3
1.7
0.7
1.9
0.7
1.1
1.5
0.4
1.6
1.9
0.3
0.6
0.3
0.7
0.4
0.5
0.3
1.0
0.6
1.7
1.1
0.7
0.3
0.4
1.3
3.1
0.4
0.3
0.6
0.5
0.8
0.8
0.7
1.2
0.8
0.3
0.8
0.7
1.3
1.4
0.7
0.5
0.4
0.3
0.5
0.8
0.4
0.3
0.6
0.4
0.7
1.1
1.5
0.7
0.7
0.6
0.2",,"Points
/100
100
100
85
98
100
100
57
100
44
21
27
69
1
79
18
100
55
50
40
30
23
37
77
47
87
60
96
59
64
100
47
100
17
68
100
60
65
45
30
74
17
84
100
44
100
43
69
97
26
100
100
19
39
17
41
23
31
15
62
39
100
73
45
15
23
82
100
20
16
36
29
50
52
46
78
52
17
51
41
88
91
45
30
22
13
28
49
23
16
35
21
40
70
100
45
41
37
11",,"Data
2.6
3.3
2.0
3.0
2.3
2.3
3.2
3.1
2.3
0.9
6.1
0.9
2.8
4.7
1.5
2.9
3.6
1.2
2.5
2.5
0.8
3.8
1.4
4.0
2.5
1.1
1.5
2.2
1.4
0.6
1.8
2.2
0.3
1.3
2.2
0.7
3.1
2.6
1.0
1.4
1.2
3.5
2.5
1.5
0.1
1.2
1.1
3.6
0.7
2.1
0.6
1.8
0.1
0.9
1.0
1.2
0.5
1.3
1.8
1.4
2.7
1.1
3.0
1.7
2.0
3.9
3.3
1.3
2.2
0.7
1.0
1.8
1.6
1.4
2.2
2.6
2.7
1.4
1.6
2.1
2.7
3.0
1.0
1.0
2.2
0.2
0.9
0.7
1.2
3.6
1.3
1.2
0.7
2.2
1.0
1.1
1.0
0.7",,"Points
/100
83
100
63
96
73
73
100
98
71
25
100
26
88
100
45
91
100
36
78
79
23
100
41
100
78
32
45
68
43
16
55
68
8
38
67
19
98
81
28
43
35
100
77
47
1
34
31
100
20
64
18
55
1
27
29
37
12
39
55
41
86
32
95
52
63
100
100
38
68
21
29
57
48
44
68
83
86
43
49
64
86
95
28
28
70
2
27
19
36
100
38
35
20
69
30
31
28
19",,"Data
5.2
1.3
3.0
4.5
4.4
8.9
1.1
0.7
1.2
7.1
2.9
12.1
1.1
1.5
0.7
9.4
8.2
2.2
3.2
5.6
3.1
0.4
10.2
0.7
10.2
0.3
2.0
2.0
0.2
1.0
2.9
6.4
1.3
0.7
4.2
3.9
1.7
0.3
1.8
0.2
0.2
0.0
0.0
5.2
0.9
2.2
2.5
1.3
0.7
1.0
1.2
0.0
1.2
1.6
0.8
8.7
1.7
0.8
0.5
1.3
2.6
0.4
1.6
0.6
2.0
0.3
1.7
1.5
3.0
1.5
1.1
0.9
3.7
1.5
1.9
1.0
1.6
0.4
0.7
3.6
1.7
1.4
1.0
0.7
3.3
0.1
0.6
1.2
0.7
6.2
0.0
0.0
0.9
1.3
0.0
3.6
0.9
0.8",,"Points
/100
100
48
100
100
100
100
41
24
43
100
100
100
41
56
22
100
100
84
100
100
100
13
100
23
100
8
73
76
5
35
100
100
48
24
100
100
61
6
67
6
5
1
1
100
30
83
93
47
25
37
44
1
45
57
27
100
61
28
15
45
96
12
58
18
74
9
63
57
100
56
38
31
100
56
69
36
58
12
25
100
63
52
35
23
100
1
19
44
25
100
1
1
32
46
1
100
33
26",,"Amenities Points/100 84
77
90
92
74
72
67
68
48
52
66
61
72
72
45
92
62
60
59
75
47
47
58
66
71
36
64
62
36
45
65
61
25
51
72
50
64
46
38
49
46
56
45
82
52
54
39
61
34
61
77
40
25
36
42
46
49
36
45
50
82
59
48
25
41
53
75
29
57
37
40
50
72
44
47
46
50
25
49
59
65
54
41
21
57
15
38
33
13
61
32
19
33
48
16
37
36
18",,"Total Points / 100
84.9
79.7
79.1
78.9
78.6
76.8
76.7
76.6
76.2
75.5
74.5
73.9
71.3
70.8
68.0
67.3
67.0
66.7
63.9
63.8
63.3
62.4
61.9
61.3
60.8
60.6
60.2
60.0
59.8
59.5
59.3
59.1
59.0
58.4
58.3
57.8
57.3
56.4
55.9
55.9
55.6
55.6
55.5
55.5
55.2
54.2
54.0
53.6
52.8
52.7
52.7
52.3
52.0
51.6
51.3
50.9
50.4
49.9
48.9
48.7
48.7
47.5
47.0
46.9
46.3
45.8
44.6
43.6
42.7
42.3
42.1
41.7
41.6
41.6
41.5
41.2
41.0
40.2
40.2
40.0
39.9
39.8
39.6
39.3
38.7
37.8
37.8
37.7
37.6
35.9
35.8
35.8
35.5
35.1
34.9
34.8
32.8
31.9",,"City
Washington, DC St. Paul, MN Arlington, VA Cincinnati, OH Minneapolis, MN Chicago, IL
San Francisco, CA Irvine, CA
Seattle, WA New York, NY Portland, OR Boston, MA Madison, WI
St. Petersburg, FL Plano, TX Pittsburgh, PA Spokane, WA Denver, CO
St. Louis, MO Henderson, NV Kansas City, MO Fremont, CA Cleveland, OH Lincoln, NE
Des Moines, IA San Jose, CA Atlanta, GA Milwaukee, WI San Diego, CA Baltimore, MD Sacramento, CA Philadelphia, PA Aurora, CO Albuquerque, NM Buffalo, NY Jersey City, NJ Boise, ID
New Orleans, LA Austin, TX Oakland, CA Virginia Beach, VA Long Beach, CA Honolulu, HI
Las Vegas, NV Richmond, VA Omaha, NE Newark, NJ Miami, FL Toledo, OH Raleigh, NC Norfolk, VA Anchorage, AK Dallas, TX
North Las Vegas, NV Columbus, OH Tulsa, OK
Detroit, MI
Colorado Springs, CO San Antonio, TX Lexington/Fayette, KY Tampa, FL Chesapeake, VA Scottsdale, AZ Anaheim, CA
Wichita, KS Orlando, FL  Baton Rouge, LA Arlington, TX Reno, NV Houston, TX Chandler, AZ Tucson, AZ Laredo, TX Corpus Christi, TX Riverside, CA Greensboro, NC Stockton, CA
Los Angeles, CA Chula Vista, CA
Winston-Salem, NC Jacksonville, FL Durham, NC
Charlotte/Mecklenburg, NC Phoenix, AZ
Bakersfield, CA Fort Worth, TX
Nashville/Davidson, TN Glendale, AZ
Gilbert, AZ
Louisville, KY Lubbock, TX Garland, TX Memphis, TN Hialeah, FL Santa Ana, CA
Oklahoma City, OK Fresno, CA
Mesa, AZ",
Rank,City,Data (Acres),"Points
/100",,Data,"Points
/100",Acreage Points/100,Data,"Points
/100",Data,"Points
/100",Data,"Points
/100",Data,Points /100,Data,Points /100,Equity Points/100,Data,"Points
/100",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Washington, DC",1.4,9,,23.9%,100,55,98%,99,98%,98,98%,97,17% more,79,7% more,73,87,$284,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"St. Paul, MN",3.2,26,,15.4%,77,52,99%,99,99%,99,99%,99,32% less,44,32% less,42,71,$247,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
