year,stateabbr,statedesc,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,locationid,categoryid,measureid,datavaluetypeid,short_question_text,geolocation
2022,US,United States,,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.0,,,11.8,12.2,333287557,260836730,59,HLTHOUT,DIABETES,CrdPrv,Diabetes,
2022,AL,Alabama,Barbour,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,9.6,,,8.5,10.7,24706,19675,1005,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-85.3928136383141 31.8698172860413)
2022,AL,Alabama,Calhoun,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.7,,,3.4,4.0,115788,91336,1015,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.8257674379293 33.7714931264898)
2022,AL,Alabama,Chambers,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,5.6,,,5.1,6.0,34088,27025,1017,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-85.3917577489906 32.9141677822456)
2022,AL,Alabama,Clay,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,5.3,,,4.9,5.7,14198,11235,1027,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-85.8606604130173 33.2693085517833)
2022,AL,Alabama,Dallas,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,5.2,,,4.8,5.7,36767,28171,1047,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-87.1065206124462 32.3258306814392)
2022,AL,Alabama,DeKalb,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,40.3,,,33.6,47.2,71998,54954,1049,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,POINT (-85.8039693236418 34.4598606858773)
2022,AL,Alabama,Etowah,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,9.1,,,8.2,10.1,103088,81013,1055,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,POINT (-86.0349319631417 34.0451449448922)
2022,AL,Alabama,Etowah,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,16.2,,,14.4,18.1,103088,81013,1055,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-86.0349319631417 34.0451449448922)
2022,AL,Alabama,Geneva,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.1,,,7.1,9.2,26783,20925,1061,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-85.8396481010202 31.0950365894133)
