stateabbr,Stroke among adults,Arthritis among adults,Obesity among adults,Depression among adults
AK,4.466666666666667,23.533333333333335,32.4,19.275000000000002
AL,4.711111111111111,33.97,42.32727272727272,24.770000000000003
AR,4.755555555555556,32.19166666666666,37.71666666666667,26.845454545454547
AZ,5.125,28.15,,23.299999999999997
CA,3.5124999999999997,22.2,29.399999999999995,21.58888888888889
CO,3.075,33.2,31.2,21.8
FL,4.966666666666666,24.95,31.8,19.400000000000002
GA,4.726666666666666,30.425,39.1,
HI,5.9,,,
IA,3.9800000000000004,25.55,39.22,18.5
ID,,25.7,35.650000000000006,25.5
IL,3.5666666666666664,30.0,36.45,22.266666666666666
IN,4.166666666666667,31.666666666666668,,
KS,4.066666666666666,29.4,37.5,19.85
KY,4.45,36.9,,
LA,5.05,,42.1,
ME,4.7,25.3,,
MO,5.3,28.6,38.0,23.2
MS,4.824999999999999,38.5,,
MT,,33.9,35.9,23.1
NC,3.1,,,21.6
ND,,37.95,,
NE,3.6,31.05,,
NH,,,,25.1
NJ,3.1,,33.0,19.5
NV,,,34.8,
NY,,29.9,,22.7
OH,4.025,32.2,,
OK,4.433333333333334,33.8,40.7,
OR,,30.95,,25.650000000000002
PA,4.833333333333333,30.6,35.0,
SC,,,,18.9
SD,4.766666666666667,,,17.0
TN,4.566666666666666,32.3,,
TX,4.266666666666667,22.475,38.3,23.020000000000003
UT,,,34.7,
VA,3.875,31.75,41.025,23.95
VT,2.3,,,
WA,3.6999999999999997,33.3,,
WI,3.7,31.6,34.1,
WV,5.3,,41.8,
WY,,,38.8,
